Ort	Geo	Datum	Getty	Symbol	Gender
Neunkirchen	49.326803,7.170049	1891	1040470	Magen David	Mann
Oranienburg	52.750548,13.228051	1891	1037432	Magen David	Mann
Oranienburg	52.750548,13.228051	1891	1037432	Magen David	beide
Siegburg	50.801352,7.203499	1891	7005104	Priesterhände	Mann
Ansbach	49.311285,10.570473	1892	7004459	Levitenkanne	Mann
Bingen	49.962935,7.89771	1892	7012309	Priesterhände	Mann
Bingen	49.962935,7.89771	1892	7012309	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1892	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1892	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1892	7005951	Levitenkanne	Mann
Chemnitz	50.828331,12.889473	1892	7005951	Magen David	Frau
Grevenbroich	51.090655,6.595415	1892	1039328	Magen David	Frau
Haigerloch	48.36392,8.807413	1892	1039436	Buch	Mann
Haigerloch	48.36392,8.807413	1892	1039436	Stern	Frau
Haigerloch	48.36392,8.807413	1892	1039436	Buch	Mann
Haigerloch	48.36392,8.807413	1892	1039436	Vanitas-Symbol	Frau
Krefeld (alter Friedhof)	51.316734,6.55169	1892	7005980	Priesterhände	unbekannt
Kusterdingen-Wankheim	48.508472,9.100833	1892	7087635	Vanitas-Symbol	Frau
Oranienburg	52.750548,13.228051	1892	1037432	Magen David	Mann
Ottweiler	49.405163,7.148328	1892	1040679	Priesterhände	Mann
Siegburg	50.801352,7.203499	1892	7005104	Priesterhände	unbekannt
Beelitz	52.236477,12.97412	1893	1036422	Magen David	Frau
Bingen	49.962935,7.89771	1893	7012309	Priesterhände	unbekannt
Chemnitz	50.828331,12.889473	1893	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1893	7005951	Magen David	beide
Dillingen-Diefflen	49.369234,6.753313	1893	1038818	Priesterhände	Mann
Grevenbroich	51.090655,6.595415	1893	1039328	Magen David	Mann
Grevenbroich-Hemmerden	51.121456,6.577076	1893	1039540	Magen David	beide
Haigerloch	48.36392,8.807413	1893	1039436	Buch	unbekannt
Haigerloch	48.36392,8.807413	1893	1039436	Buch	Mann
Haigerloch	48.36392,8.807413	1893	1039436	Buch	Mann
Jüchen	51.099422,6.498654	1893	1039755	Magen David	beide
Jüchen-Hochneukirch	51.100707,6.434983	1893	1039626	Magen David	Mann
Laupheim	48.231932,9.884036	1893	1040058	Vanitas-Symbol	Frau
Mönchengladbach	51.188645,6.428684	1893	7004975	Magen David	Frau
Mönchengladbach-Wickrath	51.133434,6.419183	1893	1041803	Magen David	Frau
Neunkirchen	49.326803,7.170049	1893	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1893	1040470	Magen David	Frau
Siegburg	50.801352,7.203499	1893	7005104	Priesterhände	unbekannt
Altena	51.304016,7.671876	1894	7006098	Priesterhände	Mann
Blieskastel	49.240733,7.254151	1894	1038561	Vanitas-Symbol	Frau
Blieskastel	49.240733,7.254151	1894	1038561	Vanitas-Symbol	Mann
Chemnitz	50.828331,12.889473	1894	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1894	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1894	7005951	Magen David	beide
Duisburg-Beeck	51.47468,10.624	1894	1004071	Sonne	unbekannt
Erfurt	50.957207,11.038496	1894	7024031	Magen David	Mann
Haigerloch	48.36392,8.807413	1894	1039436	Vanitas-Symbol	unbekannt
Haigerloch	48.36392,8.807413	1894	1039436	Buch	Frau
Hennef	50.768785,7.267189	1894	1039545	Levitenkanne	Mann
Korschenbroich	51.154744,6.503791	1894	1039924	Magen David	Mann
Neunkirchen	49.326803,7.170049	1894	1040470	Magen David	Mann
Siegburg	50.801352,7.203499	1894	7005104	Levitenkanne	unbekannt
Ahaus	52.077701,7.004256	1895	7005987	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1895	7005951	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1895	7005951	Magen David	Frau
Dillingen-Diefflen	49.369234,6.753313	1895	1038818	Levitenkanne	Mann
Frankfurt am Main	50.124557,8.647792	1895	7005293	Priesterhände	unbekannt
Geseke	51.645134,8.505151	1895	7012478	Priesterhände	Mann
Mönchengladbach	51.188645,6.428684	1895	7004975	Magen David	unbekannt
Mönchengladbach-Rheydt	51.168269,6.436269	1895	7004976	Schmetterling	Frau
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	Mann
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	unbekannt
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1895	1040470	Magen David	Frau
Erfurt	50.957207,11.038496	1896	7024031	Vanitas-Symbol	Mann
Frankfurt am Main	50.124557,8.647792	1896	7005293	Levitenkanne	Mann
Geseke	51.645134,8.505151	1896	7012478	Vanitas-Symbol	Mann
Grevenbroich-Wevelinghoven	51.102276,6.626595	1896	1041796	Magen David	Mann
Krefeld-Hüls	51.378149,6.502892	1896	1039409	Magen David	Mann
Neunkirchen	49.326803,7.170049	1896	1040470	Magen David	Frau
Sittard	50.995278,5.879167	1896	1048111	Händedruck	Frau
Titz-Rödingen	50.961191,6.465867	1896	7112969	Levitenkanne	Mann
Willich	51.261559,6.538827	1896	1041830	Magen David	beide
Bornheim	50.75759,6.987414	1897	1038605	Priesterhände	unbekannt
Chemnitz	50.828331,12.889473	1897	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1897	7005951	Magen David	Frau
Dillingen-Diefflen	49.369234,6.753313	1897	1038818	Priesterhände	Mann
Erfurt	50.957207,11.038496	1897	7024031	Vanitas-Symbol	Mann
Heiligenhaus	51.346014,6.924709	1897	1039517	Händedruck	Mann
Jüchen-Garzweiler	51.107495,6.506789	1897	4004248	Magen David	Frau
Krefeld (alter Friedhof)	51.316734,6.55169	1897	7005980	Levitenkanne	unbekannt
Laupheim	48.231932,9.884036	1897	1040058	Levitenkanne	Mann
Mönchengladbach-Wickrath	51.133434,6.419183	1897	1041803	Magen David	beide
Neuss	51.194797,6.66818	1897	7004978	Buch	Mann
Bayreuth	49.934064,11.594224	1898	7004326	Magen David	Mann
Beelitz	52.236477,12.97412	1898	1036422	Magen David	Mann
Chemnitz	50.828331,12.889473	1898	7005951	Magen David	Mann
Geseke	51.645134,8.505151	1898	7012478	Vanitas-Symbol	Frau
Korschenbroich	51.154744,6.503791	1898	1039924	Magen David	Frau
Krefeld (alter Friedhof)	51.316734,6.55169	1898	7005980	Magen David	unbekannt
Laupheim	48.231932,9.884036	1898	1040058	Levitenkanne	Mann
Mönchengladbach	51.188645,6.428684	1898	7004975	Magen David	Mann
Mönchengladbach-Odenkirchen	51.134959,6.45498	1898	1005256	Magen David	Mann
Mönchengladbach-Odenkirchen	51.134959,6.45498	1898	1005256	Magen David	Mann
Neunkirchen	49.326803,7.170049	1898	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1898	1040470	Magen David	Mann
Oranienburg	52.750548,13.228051	1898	1037432	Magen David	Frau
Bayreuth	49.934064,11.594224	1899	7004326	Magen David	Mann
Erfurt	50.957207,11.038496	1899	7024031	Magen David	Frau
Haigerloch	48.36392,8.807413	1899	1039436	Buch	Frau
Haigerloch	48.36392,8.807413	1899	1039436	Buch	Frau
Krefeld (alter Friedhof)	51.316734,6.55169	1899	7005980	Magen David	unbekannt
Krefeld (alter Friedhof)	51.316734,6.55169	1899	7005980	Priesterhände	unbekannt
Krefeld (alter Friedhof)	51.316734,6.55169	1899	7005980	Magen David	unbekannt
Krefeld (alter Friedhof)	51.316734,6.55169	1899	7005980	Priesterhände	unbekannt
Kusterdingen-Wankheim	48.508472,9.100833	1899	7087635	Vanitas-Symbol	Mann
Kusterdingen-Wankheim	48.508472,9.100833	1899	7087635	Vanitas-Symbol	Frau
Laupheim	48.231932,9.884036	1899	1040058	Levitenkanne	Mann
Laupheim	48.231932,9.884036	1899	1040058	Vanitas-Symbol	Frau
Mülheim an der Ruhr	51.429799,6.902738	1899	7004909	Magen David	Mann
Schnaittach	49.561735,11.336623	1899	1041127	Magen David	Mann
Schnaittach	49.561735,11.336623	1899	1041127	Magen David	Mann
Bad Münstereifel	50.557018,6.767275	1900	7012589	Magen David	Frau
Bayreuth	49.934064,11.594224	1900	7004326	Levitenkanne	Frau
Bingen	49.962935,7.89771	1900	7012309	Krone	Frau
Bingen	49.962935,7.89771	1900	7012309	Vanitas-Symbol	beide
Chemnitz	50.828331,12.889473	1900	7005951	Magen David	unbekannt
Chemnitz	50.828331,12.889473	1900	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1900	7005951	Magen David	beide
Frankfurt am Main-Heddernheim	50.154075,8.637539	1900	7005293	Levitenkanne	Mann
Grevenbroich-Wevelinghoven	51.102276,6.626595	1900	1041796	Magen David	Mann
Jüchen	51.099422,6.498654	1900	1039755	Magen David	Mann
Krefeld-Hüls	51.378149,6.502892	1900	1039409	Magen David	Frau
Mönchengladbach-Rheindahlen	51.151968,6.35897	1900	7004975	Magen David	Mann
Mülheim an der Ruhr	51.429799,6.902738	1900	7004909	Magen David	Frau
Neunkirchen	49.326803,7.170049	1900	1040470	Magen David	Frau
Neunkirchen	49.326803,7.170049	1900	1040470	Magen David	Mann
Oranienburg	52.750548,13.228051	1900	1037432	Magen David	Frau
Oranienburg	52.750548,13.228051	1900	1037432	Magen David	Frau
St. Ingbert	49.285286,7.115439	1900	7012691	Priesterhände	Mann
Chemnitz	50.828331,12.889473	1901	7005951	Magen David	Frau
Chemnitz	50.828331,12.889473	1901	7005951	Magen David	Mann
Dillingen-Diefflen	49.369234,6.753313	1901	1038818	Vanitas-Symbol	Mann
Dillingen-Diefflen	49.369234,6.753313	1901	1038818	Magen David	Mann
Erfurt	50.957207,11.038496	1901	7024031	Priesterhände	Mann
Haigerloch	48.36392,8.807413	1901	1039436	Vanitas-Symbol	Mann
Haigerloch	48.36392,8.807413	1901	1039436	Vanitas-Symbol	Mann
Haigerloch	48.36392,8.807413	1901	1039436	Buch	Frau
Heiligenhaus	51.346014,6.924709	1901	1039517	Magen David	Frau
Heiligenhaus	51.346014,6.924709	1901	1039517	Magen David	Mann
Hennef	50.768785,7.267189	1901	1039545	Magen David	Mann
Jüchen-Hochneukirch	51.100707,6.434983	1901	1039626	Magen David	Frau
Mülheim an der Ruhr	51.429799,6.902738	1901	7004909	Rose	Mann
Mülheim an der Ruhr	51.429799,6.902738	1901	7004909	Magen David	Mann
Neunkirchen	49.326803,7.170049	1901	1040470	Magen David	Mann
Beelitz	52.236477,12.97412	1902	1036422	Löwe	unbekannt
Beelitz	52.236477,12.97412	1902	1036422	Löwe	unbekannt
Chemnitz	50.828331,12.889473	1902	7005951	Magen David	Mann
Chemnitz	50.828331,12.889473	1902	7005951	Magen David	unbekannt
Chemnitz	50.828331,12.889473	1902	7005951	Magen David	Mann
Geseke	51.645134,8.505151	1902	7012478	Vanitas-Symbol	unbekannt
Haigerloch	48.36392,8.807413	1902	1039436	Levitenkanne	Mann
Haigerloch	48.36392,8.807413	1902	1039436	Buch	Mann
Homburg	49.323688,7.348276	1902	7012377	Priesterhände	Mann
